,Lambda,Sparsity,Error
0,0.0,0.12190922823819247,4.911884919513356
1,0.1,0.10690084370699796,3.5858588684688915
2,0.2,0.09882545471191406,1.8559925757754934
3,0.30000000000000004,0.08885222673416138,1.9989323999665
4,0.4,0.08668140389702537,2.399393829865889
5,0.5,0.09071053158153188,2.2804787434231155
6,0.6000000000000001,0.10646983710202304,2.5163931729576805
7,0.7000000000000001,0.09339600259607489,2.616503340114247
8,0.8,0.0957231955094771,2.7674953048879445
9,0.9,0.10317177122289484,3.0432334206321023
10,1.0,0.10679507255554199,3.0753555653311992
