mean_accuracy,feature_maps,hidden_neurons,threshold,timestep
0.797809829059829,32,"[128, 64]",1.0,8
0.8231481481481481,64,"[128, 64]",1.0,8
0.84,32,"[64, 128]",1.0,8
0.8261574074074076,64,"[64, 128]",1.0,8
0.7563888888888889,32,"[128, 64]",0.8,8
0.846316425120773,64,"[128, 64]",0.8,8
0.8521825396825395,32,"[64, 128]",0.8,8
0.8572222222222221,64,"[64, 128]",0.8,8
0.8598090277777778,32,"[128, 64]",1.0,29
0.903390522875817,64,"[128, 64]",1.0,29
0.874861111111111,32,"[64, 128]",1.0,29
0.8854166666666666,64,"[64, 128]",1.0,29
0.8402777777777778,32,"[128, 64]",0.8,29
0.9086174242424242,64,"[128, 64]",0.8,29
0.9023919753086419,32,"[64, 128]",0.8,29
0.9000420875420877,64,"[64, 128]",0.8,29
0.8559587813620071,32,"[128, 64]",1.0,116
0.8952020202020203,64,"[128, 64]",1.0,116
0.91625,32,"[64, 128]",1.0,116
0.8658459595959598,64,"[64, 128]",1.0,116
0.8823005698005698,32,"[128, 64]",0.8,116
0.9207818930041152,64,"[128, 64]",0.8,116
0.8827160493827161,32,"[64, 128]",0.8,116
0.9132716049382716,64,"[64, 128]",0.8,116
