,mean_accuracy,lr,alpha,tau,feature_maps,hidden_layers,surrogate_grad
42,0.8988636363636363,0.001,0.85,0.5,"[128, 128]","[128, 64]",<function atan.<locals>.inner at 0x7b4518028040>
43,0.8011363636363636,0.001,0.99,0.5,"[64, 128]","[128, 128]",<function atan.<locals>.inner at 0x7b4518028040>
44,0.8912337662337662,0.001,0.85,0.5,"[64, 128]","[128, 128]",<function atan.<locals>.inner at 0x7b4518028040>
45,0.8469460227272727,0.001,0.99,0.5,"[128, 128]","[128, 128]",<function atan.<locals>.inner at 0x7b4518028040>
46,0.8845620842572062,0.001,0.85,0.5,"[128, 128]","[128, 128]",<function atan.<locals>.inner at 0x7b4518028040>
47,0.8446969696969697,0.0001,0.99,0.5,"[64, 128]","[128, 64]",<function fast_sigmoid.<locals>.inner at 0x7b451615dfc0>
48,0.8484848484848484,0.0001,0.85,0.5,"[64, 128]","[128, 64]",<function fast_sigmoid.<locals>.inner at 0x7b451615dfc0>
49,0.8375,0.0001,0.99,0.5,"[128, 128]","[128, 64]",<function fast_sigmoid.<locals>.inner at 0x7b451615dfc0>
50,0.8731060606060606,0.0001,0.85,0.5,"[128, 128]","[128, 64]",<function fast_sigmoid.<locals>.inner at 0x7b451615dfc0>
51,0.8399122807017544,0.0001,0.99,0.5,"[64, 128]","[128, 128]",<function fast_sigmoid.<locals>.inner at 0x7b451615dfc0>
52,0.8033826638477801,0.0001,0.85,0.5,"[64, 128]","[128, 128]",<function fast_sigmoid.<locals>.inner at 0x7b451615dfc0>
53,0.8609625668449198,0.0001,0.99,0.5,"[128, 128]","[128, 128]",<function fast_sigmoid.<locals>.inner at 0x7b451615dfc0>
54,0.8362299465240642,0.0001,0.85,0.5,"[128, 128]","[128, 128]",<function fast_sigmoid.<locals>.inner at 0x7b451615dfc0>
55,0.7672413793103449,0.001,0.99,0.5,"[64, 128]","[128, 64]",<function fast_sigmoid.<locals>.inner at 0x7b451615dfc0>
56,0.8347902097902098,0.001,0.85,0.5,"[64, 128]","[128, 64]",<function fast_sigmoid.<locals>.inner at 0x7b451615dfc0>
57,0.7926136363636365,0.001,0.99,0.5,"[128, 128]","[128, 64]",<function fast_sigmoid.<locals>.inner at 0x7b451615dfc0>
58,0.8075284090909092,0.001,0.85,0.5,"[128, 128]","[128, 64]",<function fast_sigmoid.<locals>.inner at 0x7b451615dfc0>
59,0.6399147727272727,0.001,0.99,0.5,"[64, 128]","[128, 128]",<function fast_sigmoid.<locals>.inner at 0x7b451615dfc0>
60,0.6870629370629371,0.001,0.85,0.5,"[64, 128]","[128, 128]",<function fast_sigmoid.<locals>.inner at 0x7b451615dfc0>
61,0.7987440191387559,0.001,0.99,0.5,"[128, 128]","[128, 128]",<function fast_sigmoid.<locals>.inner at 0x7b451615dfc0>
62,0.712603305785124,0.001,0.85,0.5,"[128, 128]","[128, 128]",<function fast_sigmoid.<locals>.inner at 0x7b451615dfc0>
63,0.8787081339712917,0.0001,0.99,0.9,"[64, 128]","[128, 64]",<function atan.<locals>.inner at 0x7b4518028040>
64,0.9084476843910808,0.0001,0.85,0.9,"[64, 128]","[128, 64]",<function atan.<locals>.inner at 0x7b4518028040>
65,0.898030303030303,0.0001,0.99,0.9,"[128, 128]","[128, 64]",<function atan.<locals>.inner at 0x7b4518028040>
66,0.8775826446280991,0.0001,0.85,0.9,"[128, 128]","[128, 64]",<function atan.<locals>.inner at 0x7b4518028040>
67,0.8822798295454545,0.0001,0.99,0.9,"[64, 128]","[128, 128]",<function atan.<locals>.inner at 0x7b4518028040>
68,0.8420454545454545,0.0001,0.85,0.9,"[64, 128]","[128, 128]",<function atan.<locals>.inner at 0x7b4518028040>
69,0.905923994038748,0.0001,0.99,0.9,"[128, 128]","[128, 128]",<function atan.<locals>.inner at 0x7b4518028040>
70,0.9004186602870812,0.0001,0.85,0.9,"[128, 128]","[128, 128]",<function atan.<locals>.inner at 0x7b4518028040>
71,0.8497067448680352,0.001,0.99,0.9,"[64, 128]","[128, 64]",<function atan.<locals>.inner at 0x7b4518028040>
72,0.9023845007451564,0.001,0.85,0.9,"[64, 128]","[128, 64]",<function atan.<locals>.inner at 0x7b4518028040>
73,0.865625,0.001,0.99,0.9,"[128, 128]","[128, 64]",<function atan.<locals>.inner at 0x7b4518028040>
74,0.8920454545454545,0.001,0.85,0.9,"[128, 128]","[128, 64]",<function atan.<locals>.inner at 0x7b4518028040>
75,0.8778409090909091,0.001,0.99,0.9,"[64, 128]","[128, 128]",<function atan.<locals>.inner at 0x7b4518028040>
76,0.8710359408033824,0.001,0.85,0.9,"[64, 128]","[128, 128]",<function atan.<locals>.inner at 0x7b4518028040>
77,0.861952861952862,0.001,0.99,0.9,"[128, 128]","[128, 128]",<function atan.<locals>.inner at 0x7b4518028040>
78,0.8994905956112852,0.001,0.85,0.9,"[128, 128]","[128, 128]",<function atan.<locals>.inner at 0x7b4518028040>
79,0.8395915678524376,0.0001,0.99,0.9,"[64, 128]","[128, 64]",<function fast_sigmoid.<locals>.inner at 0x7b451615dfc0>
80,0.8509358288770053,0.0001,0.85,0.9,"[64, 128]","[128, 64]",<function fast_sigmoid.<locals>.inner at 0x7b451615dfc0>
